id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20180827T222541_20180827T222807_T59GMM,170.89177164246868,-43.99925803735313,1535408903936,4704.0,4756.0,4780.0,5192.0,4952.0,2279,2201,2018-08-28 10:28:23
20181213T223659_20181213T223656_T59GMM,170.89177164246868,-43.99925803735313,1544740695731,2300.0,2308.0,2208.0,3586.0,3668.0,3210,2712,2018-12-14 10:38:15
20181215T222531_20181215T222536_T59GMM,170.89177164246868,-43.99925803735313,1544912896000,8296.0,7808.0,7416.0,7520.0,7387.0,5445,4006,2018-12-16 10:28:16
20181218T223651_20181218T223734_T59GMM,170.89177164246868,-43.99925803735313,1545172693000,6808.0,6920.0,6988.0,7540.0,7387.0,3890,2775,2018-12-19 10:38:13
20181220T222539_20181220T222533_T59GMM,170.89177164246868,-43.99925803735313,1545344900000,1986.0,2166.0,2124.0,3352.0,3622.0,2822,2394,2018-12-21 10:28:20
20181223T223659_20181223T223658_T59GMM,170.89177164246868,-43.99925803735313,1545604697000,86.0,101.0,60.0,5.0,32.0,110,85,2018-12-24 10:38:17
20181225T222531_20181225T222541_T59GMM,170.89177164246868,-43.99925803735313,1545776898000,11768.0,10720.0,9968.0,9552.0,9263.0,5664,4132,2018-12-26 10:28:18
20181228T223701_20181228T223736_T59GMM,170.89177164246868,-43.99925803735313,1546036695000,1.0,1.0,1.0,1.0,,111,85,2018-12-29 10:38:15
20181230T222539_20181230T222535_T59GMM,170.89177164246868,-43.99925803735313,1546208902000,69.0,47.0,26.0,1.0,1.0,102,98,2018-12-31 10:28:22
20190102T223659_20190102T223700_T59GMM,170.89177164246868,-43.99925803735313,1546468699000,222.0,227.0,230.0,160.0,215.0,259,234,2019-01-03 10:38:19
20190104T222531_20190104T222532_T59GMM,170.89177164246868,-43.99925803735313,1546640900000,1.0,1.0,1.0,1.0,1.0,118,108,2019-01-05 10:28:20
