id,longitude,latitude,time,cs,cs_cdf,timestamp
20180102T223701_20180102T223655_T59GMM,170.89159197941186,-43.99925803735313,1514932615460,0.43137254901960786,0.6823529411764706,2018-01-03 10:36:55
20180104T222529_20180104T222528_T59GMM,170.89159197941186,-43.99925803735313,1515104728460,0.027450980392156862,0.12549019607843137,2018-01-05 10:25:28
20180107T223659_20180107T223653_T59GMM,170.89159197941186,-43.99925803735313,1515364613460,0.050980392156862744,0.10196078431372549,2018-01-08 10:36:53
20180109T222531_20180109T222529_T59GMM,170.89159197941186,-43.99925803735313,1515536729460,0.00392156862745098,0.0784313725490196,2018-01-10 10:25:29
20180112T223651_20180112T223654_T59GMM,170.89159197941186,-43.99925803735313,1515796614460,0.011764705882352941,0.050980392156862744,2018-01-13 10:36:54
20180114T222529_20180114T222529_T59GMM,170.89159197941186,-43.99925803735313,1515968729460,0.9254901960784314,0.9019607843137255,2018-01-15 10:25:29
20180117T223659_20180117T223654_T59GMM,170.89159197941186,-43.99925803735313,1516228614460,0.00784313725490196,0.0392156862745098,2018-01-18 10:36:54
20180119T222531_20180119T222531_T59GMM,170.89159197941186,-43.99925803735313,1516400731460,0.615686274509804,0.8745098039215686,2018-01-20 10:25:31
20180122T223701_20180122T223656_T59GMM,170.89159197941186,-43.99925803735313,1516660616460,0.9294117647058824,0.9137254901960784,2018-01-23 10:36:56
20180124T222529_20180124T222530_T59GMM,170.89159197941186,-43.99925803735313,1516832730460,0.8196078431372549,0.8705882352941177,2018-01-25 10:25:30
20180127T223659_20180127T223655_T59GMM,170.89159197941186,-43.99925803735313,1517092615460,0.9411764705882353,0.9098039215686274,2018-01-28 10:36:55
20180129T222531_20180129T222533_T59GMM,170.89159197941186,-43.99925803735313,1517264733460,0.9568627450980393,0.9098039215686274,2018-01-30 10:25:33
20180201T223701_20180201T223658_T59GMM,170.89159197941186,-43.99925803735313,1517524618460,0.0,0.043137254901960784,2018-02-02 10:36:58
20180203T222529_20180203T222530_T59GMM,170.89159197941186,-43.99925803735313,1517696730460,0.9333333333333333,0.8901960784313725,2018-02-04 10:25:30
20180206T223659_20180206T223655_T59GMM,170.89159197941186,-43.99925803735313,1517956615460,0.5058823529411764,0.7058823529411765,2018-02-07 10:36:55
20180208T222531_20180208T222534_T59GMM,170.89159197941186,-43.99925803735313,1518128734460,0.058823529411764705,0.10980392156862745,2018-02-09 10:25:34
20180211T223701_20180211T223659_T59GMM,170.89159197941186,-43.99925803735313,1518388619460,0.7607843137254902,0.8862745098039215,2018-02-12 10:36:59
20180213T222529_20180213T222530_T59GMM,170.89159197941186,-43.99925803735313,1518560730460,0.0,0.03137254901960784,2018-02-14 10:25:30
20180216T223659_20180216T223655_T59GMM,170.89159197941186,-43.99925803735313,1518820615460,0.8549019607843137,0.9019607843137255,2018-02-17 10:36:55
20180218T222531_20180218T222534_T59GMM,170.89159197941186,-43.99925803735313,1518992734460,0.00392156862745098,0.0392156862745098,2018-02-19 10:25:34
20180221T223701_20180221T223659_T59GMM,170.89159197941186,-43.99925803735313,1519252619460,0.9372549019607843,0.9137254901960784,2018-02-22 10:36:59
20180223T222529_20180223T222739_T59GMM,170.89159197941186,-43.99925803735313,1519424859340,0.9333333333333333,0.9137254901960784,2018-02-24 10:27:39
20180226T223659_20180226T223653_T59GMM,170.89159197941186,-43.99925803735313,1519684613460,0.00392156862745098,0.054901960784313725,2018-02-27 10:36:53
20180228T222531_20180228T222534_T59GMM,170.89159197941186,-43.99925803735313,1519856734460,0.5058823529411764,0.6941176470588235,2018-03-01 10:25:34
20180303T223701_20180303T223659_T59GMM,170.89159197941186,-43.99925803735313,1520116619460,0.9137254901960784,0.9176470588235294,2018-03-04 10:36:59
20180305T222529_20180305T222528_T59GMM,170.89159197941186,-43.99925803735313,1520288728460,0.00784313725490196,0.06274509803921569,2018-03-06 10:25:28
20180308T223649_20180308T223652_T59GMM,170.89159197941186,-43.99925803735313,1520548612460,0.00392156862745098,0.054901960784313725,2018-03-09 10:36:52
20180310T222531_20180310T222613_T59GMM,170.89159197941186,-43.99925803735313,1520720773140,0.9450980392156862,0.9137254901960784,2018-03-11 10:26:13
20180313T223701_20180313T223658_T59GMM,170.89159197941186,-43.99925803735313,1520980618460,0.9490196078431372,0.9254901960784314,2018-03-14 10:36:58
20180315T222529_20180315T222530_T59GMM,170.89159197941186,-43.99925803735313,1521152730460,0.8823529411764706,0.9215686274509803,2018-03-16 10:25:30
20180318T223659_20180318T223655_T59GMM,170.89159197941186,-43.99925803735313,1521412615460,0.0,0.050980392156862744,2018-03-19 10:36:55
20180320T222541_20180320T222702_T59GMM,170.89159197941186,-43.99925803735313,1521584822050,0.00784313725490196,0.07450980392156863,2018-03-21 10:27:02
20180323T223701_20180323T223700_T59GMM,170.89159197941186,-43.99925803735313,1521844620460,0.07450980392156863,0.17647058823529413,2018-03-24 10:37:00
20180325T222529_20180325T222532_T59GMM,170.89159197941186,-43.99925803735313,1522016732460,0.027450980392156862,0.08235294117647059,2018-03-26 10:25:32
20180328T223659_20180328T223657_T59GMM,170.89159197941186,-43.99925803735313,1522276617460,0.9019607843137255,0.9294117647058824,2018-03-29 10:36:57
20180330T222541_20180330T222704_T59GMM,170.89159197941186,-43.99925803735313,1522448824050,0.011764705882352941,0.054901960784313725,2018-03-31 10:27:04
20180402T223701_20180402T223702_T59GMM,170.89159197941186,-43.99925803735313,1522708622460,0.7529411764705882,0.9176470588235294,2018-04-03 10:37:02
