timestamp,B2,B3,B4,B8,B8A
2018-11-13,716.025,532.225,285.84999999999997,217.04999999999998,241.54999999999998
2018-11-15,2813.525,2554.25,2444.7,3305.85,3453.075
2018-11-18,3043.85,2649.275,2542.375,2747.875,3162.9
2018-11-20,4208.599999999999,3979.95,4071.625,5271.15,5633.2
2018-11-23,7343.599999999999,6868.7,7190.599999999999,7361.099999999999,7900.0
2018-11-25,6395.65,6096.9,6428.2,6787.7,7315.724999999999
2018-11-28,5538.35,5119.025,5152.974999999999,5570.45,5672.15
2018-11-30,8004.95,7705.9,8194.05,8258.6,8964.6
2018-12-03,743.5749999999999,590.9,344.525,228.7,237.0
2018-12-05,1188.675,1047.825,892.55,1093.8,1662.2749999999999
2018-12-08,6101.275,5806.5,5953.325,6699.2,6778.275
2018-12-10,6826.525,6472.575,6688.099999999999,6991.575,7377.549999999999
2018-12-13,2457.2999999999997,2427.15,2406.075,3448.325,3892.275
2018-12-15,5927.625,5663.5,5911.25,6255.474999999999,6698.625
2018-12-18,6921.4,6535.425,6817.125,6977.875,7465.575
2018-12-20,2127.775,1996.7749999999999,1946.3249999999998,3121.15,3628.6
2018-12-23,654.4,449.85,246.025,194.6,216.27499999999998
2018-12-25,7954.749999999999,7546.499999999999,7853.425,7863.375,8293.35
2018-12-28,662.25,437.625,252.95,207.3,240.925
2018-12-30,739.175,488.45,278.59999999999997,239.725,238.32500000000002
2019-01-02,728.725,524.4749999999999,353.34999999999997,304.275,354.525
2019-01-04,719.5,481.92499999999995,271.475,278.17499999999995,288.84999999999997
2019-01-07,748.925,502.65,288.22499999999997,253.775,271.97499999999997
2019-01-09,3834.4,3498.5249999999996,3495.0,3892.775,4319.8
2019-01-12,7544.499999999999,7165.025,7477.125,7895.299999999999,7870.025
2019-01-14,3117.9249999999997,2813.95,2725.325,3572.875,3734.325
2019-01-17,4956.55,4759.2,5012.15,5702.325,6198.9
2019-01-19,730.95,489.09999999999997,271.125,215.175,216.825
2019-01-22,798.275,607.625,374.09999999999997,299.925,325.425
2019-01-24,2857.525,2258.95,2273.875,4312.5,4736.425
2019-01-27,2913.85,2760.375,2822.1,3425.1,3880.6499999999996
2019-01-29,1636.25,1422.05,1259.0,1805.475,1962.1
2019-02-01,705.85,494.875,290.175,248.25,250.775
2019-02-03,747.125,523.05,300.35,248.24999999999997,247.825
2019-02-06,4161.575,3955.75,4173.85,4867.45,5221.15
2019-02-08,758.25,521.175,293.5,231.54999999999998,238.05
2019-02-11,683.675,484.875,270.65,201.325,222.99999999999997
2019-02-13,2734.2999999999997,2516.225,2480.25,3210.125,3358.375
2019-02-16,715.675,486.675,287.625,219.15,231.99999999999997
2019-02-18,920.975,697.025,494.025,552.55,570.05
2019-02-21,3425.875,3214.125,3383.525,3880.2999999999997,4308.45
2019-02-23,5341.375,4993.15,5293.125,5676.75,6064.15
2019-02-26,780.125,553.375,337.45,269.7,295.25
2019-02-28,778.3,530.65,297.75,218.5,232.1
2019-03-03,785.025,581.075,356.325,301.25,295.3
2019-03-05,940.4,696.975,440.325,400.05,401.025
2019-03-08,752.35,549.875,328.84999999999997,246.35,276.95
2019-03-10,2437.975,2168.025,2094.875,2580.7,2673.375
2019-03-13,6074.5,5651.599999999999,5895.6,5951.5,6197.7
2019-03-15,4226.325,3996.825,4167.224999999999,4326.95,4816.55
2019-03-18,5592.85,5298.775,5599.525,5497.2,6174.7
2019-03-20,4190.224999999999,4048.7749999999996,4313.5,4612.425,5088.2
2019-03-23,761.025,533.125,301.375,197.45,234.65
2019-03-25,2017.25,1863.6999999999998,1661.8999999999999,1976.4499999999998,2549.15
2019-03-28,876.9749999999999,639.775,391.975,306.45,312.95
2019-03-30,869.0999999999999,621.9,364.85,213.25,248.075
2019-04-02,795.1,583.825,340.075,193.725,220.45
2019-04-04,2256.275,1918.625,1862.8249999999998,2349.5,2509.2
2019-04-07,826.8,583.35,340.575,246.5,232.54999999999998
2019-04-09,2775.375,2528.75,2529.55,3047.325,3332.275
2019-04-12,819.725,576.675,325.47499999999997,186.5,221.04999999999998
2019-04-14,938.625,639.65,393.275,269.97499999999997,252.425
2019-04-17,4654.65,4326.599999999999,4655.275,4795.525,5029.325
2019-04-19,1043.7,712.675,474.875,439.825,420.075
2019-04-22,858.275,596.525,324.8,204.025,219.4
2019-04-24,1093.575,805.925,519.825,398.15,393.475
2019-04-27,4108.375,3766.1749999999997,3848.25,4553.275,4513.8
2019-04-29,925.75,609.5749999999999,346.95,192.75,218.825
2019-05-02,876.3249999999999,579.15,329.05,221.075,226.075
2019-05-04,6309.525,5848.125,6213.474999999999,6681.674999999999,6942.2
2019-05-07,4680.25,4483.724999999999,4746.8,5320.650000000001,5558.575
2019-05-09,933.0,577.6,317.65,197.45,220.125
2019-05-12,875.3249999999999,558.05,313.025,207.4,211.85
2019-05-14,3999.6749999999997,3636.8999999999996,3824.325,4436.275,4759.924999999999
2019-05-17,1263.425,956.225,888.525,834.0,1422.8999999999999
2019-05-19,993.1999999999999,627.525,357.25,221.175,243.29999999999998
2019-05-22,941.6999999999999,593.35,332.84999999999997,218.175,210.25
2019-05-24,1330.925,915.475,669.8249999999999,698.275,678.525
2019-05-27,1921.325,1630.95,1565.325,1906.975,1987.35
2019-05-29,914.525,573.625,350.0,249.6,264.825
2019-06-01,1472.45,952.65,611.4,355.34999999999997,347.625
2019-06-03,6762.075,6083.174999999999,6582.3,6551.525,7051.174999999999
2019-06-06,1147.825,734.9,438.95,285.22499999999997,289.4
2019-06-08,3524.25,3067.05,3128.0499999999997,3636.95,3708.325
2019-06-11,6913.35,6345.375,6993.275,7600.2,7834.95
2019-06-13,2392.95,1919.625,1793.1,2099.95,2153.225
2019-06-16,1033.7,649.25,385.95,275.375,271.6
2019-06-18,1235.5249999999999,815.725,539.275,460.59999999999997,440.29999999999995
2019-06-21,5326.349999999999,4735.1,5194.875,5688.525,5895.875
2019-06-23,1111.0,687.45,409.625,278.175,298.425
2019-06-26,1075.3,675.775,406.525,257.4,250.475
2019-06-28,1490.625,1080.975,906.55,979.3499999999999,995.3749999999999
2019-07-01,4116.525,3687.6,3819.95,4514.3,4497.975
2019-07-03,1125.975,691.3,415.59999999999997,269.875,279.97499999999997
2019-07-06,1032.95,646.95,373.15,241.625,240.85
2019-07-08,2423.325,1954.5,1892.25,2921.575,2959.025
2019-07-11,6556.375,5780.975,6090.05,6573.525,6291.674999999999
