id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20190303T223659_20190303T223812_T59GMM,170.89195130552548,-43.99916820582472,1551652702000,161.0,199.0,110.0,104.0,79.0,188,163,2019-03-04 10:38:22
20190305T222531_20190305T222532_T59GMM,170.89195130552548,-43.99916820582472,1551824899000,94.0,171.0,80.0,9.0,26.0,169,128,2019-03-06 10:28:19
20190308T223701_20190308T223657_T59GMM,170.89195130552548,-43.99916820582472,1552084696000,11.0,112.0,63.0,1.0,56.0,213,154,2019-03-09 10:38:16
20190310T222539_20190310T222604_T59GMM,170.89195130552548,-43.99916820582472,1552256902000,2556.0,2514.0,2338.0,2964.0,2690.0,1558,1427,2019-03-11 10:28:22
20190313T223659_20190313T223659_T59GMM,170.89195130552548,-43.99916820582472,1552516699000,7980.0,7496.0,7168.0,7256.0,6812.0,3050,2450,2019-03-14 10:38:19
20190315T222531_20190315T222534_T59GMM,170.89195130552548,-43.99916820582472,1552688902062,6236.0,5924.0,5604.0,5560.0,5933.0,4136,3321,2019-03-16 10:28:22
20190318T223701_20190318T223700_T59GMM,170.89195130552548,-43.99916820582472,1552948699000,7436.0,7036.0,6764.0,6460.0,6667.0,5001,3538,2019-03-19 10:38:19
20190320T222539_20190320T222537_T59GMM,170.89195130552548,-43.99916820582472,1553120904000,5028.0,4908.0,4784.0,5152.0,5286.0,5262,5002,2019-03-21 10:28:24
20190323T223659_20190323T223702_T59GMM,170.89195130552548,-43.99916820582472,1553380702000,93.0,128.0,53.0,39.0,44.0,149,126,2019-03-24 10:38:22
20190325T222541_20190325T222537_T59GMM,170.89195130552548,-43.99916820582472,1553552904000,1888.0,1826.0,1734.0,2216.0,2639.0,1864,1834,2019-03-26 10:28:24
20190328T223701_20190328T223702_T59GMM,170.89195130552548,-43.99916820582472,1553812701000,146.0,264.0,176.0,132.0,123.0,296,220,2019-03-29 10:38:21
20190330T222539_20190330T222539_T59GMM,170.89195130552548,-43.99916820582472,1553984907000,81.0,179.0,80.0,3.0,1.0,167,112,2019-03-31 10:28:27
20190402T223709_20190402T223705_T59GMM,170.89195130552548,-43.99916820582472,1554244704000,95.0,214.0,116.0,2.0,29.0,126,121,2019-04-03 10:38:24
20190404T222541_20190404T222538_T59GMM,170.89195130552548,-43.99916820582472,1554416906000,1534.0,1742.0,1838.0,2438.0,2521.0,2131,1885,2019-04-05 10:28:26
20190407T223701_20190407T223704_T59GMM,170.89195130552548,-43.99916820582472,1554676703000,13.0,150.0,79.0,34.0,153.0,380,263,2019-04-08 10:38:23
20190409T222539_20190409T222542_T59GMM,170.89195130552548,-43.99916820582472,1554848909000,1272.0,1734.0,2044.0,2978.0,3088.0,2858,2351,2019-04-10 10:28:29
20190412T223709_20190412T223707_T59GMM,170.89195130552548,-43.99916820582472,1555108707000,29.0,101.0,44.0,1.0,1.0,145,141,2019-04-13 10:38:27
20190414T222541_20190414T222540_T59GMM,170.89195130552548,-43.99916820582472,1555280907000,1.0,134.0,70.0,21.0,37.0,297,175,2019-04-15 10:28:27
20190417T223711_20190417T223705_T59GMM,170.89195130552548,-43.99916820582472,1555540704000,5136.0,4936.0,4728.0,4860.0,4374.0,3683,2836,2019-04-18 10:38:24
20190419T222549_20190419T222631_T59GMM,170.89195130552548,-43.99916820582472,1555712911000,199.0,229.0,196.0,338.0,269.0,293,205,2019-04-20 10:28:31
20190422T223709_20190422T223709_T59GMM,170.89195130552548,-43.99916820582472,1555972708000,82.0,117.0,54.0,2.0,20.0,130,122,2019-04-23 10:38:28
20190424T222541_20190424T222657_T59GMM,170.89195130552548,-43.99916820582472,1556144908000,184.0,366.0,200.0,195.0,113.0,351,208,2019-04-25 10:28:28
20190427T223711_20190427T223706_T59GMM,170.89195130552548,-43.99916820582472,1556404705000,3726.0,3986.0,3948.0,5260.0,4501.0,3461,3318,2019-04-28 10:38:25
20190429T222549_20190429T222545_T59GMM,170.89195130552548,-43.99916820582472,1556576913000,20.0,78.0,5.0,1.0,1.0,135,101,2019-04-30 10:28:33
20190502T223709_20190502T223710_T59GMM,170.89195130552548,-43.99916820582472,1556836709000,1.0,81.0,21.0,1.0,34.0,123,112,2019-05-03 10:38:29
20190504T222541_20190504T222603_T59GMM,170.89195130552548,-43.99916820582472,1557008909000,6504.0,6704.0,6724.0,7540.0,7104.0,2792,3023,2019-05-05 10:28:29
20190507T223711_20190507T223706_T59GMM,170.89195130552548,-43.99916820582472,1557268705000,7780.0,7580.0,6620.0,7528.0,6766.0,5083,4838,2019-05-08 10:38:25
