timestamp,B11_0,B11_1,B11_2,B11_3,B11_4,B11_5,B11_6,B11_7,B11_8,B12_0,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B12_7,B12_8,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3_0,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B4_0,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B8_0,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B8A_0,B8A_1,B8A_2,B8A_3,B8A_4,B8A_5,B8A_6,B8A_7,B8A_8,cs_0,cs_1,cs_2,cs_3,cs_4,cs_5,cs_6,cs_7,cs_8,cs_cdf_0,cs_cdf_1,cs_cdf_2,cs_cdf_3,cs_cdf_4,cs_cdf_5,cs_cdf_6,cs_cdf_7,cs_cdf_8,solar_zenith_0,solar_zenith_1,solar_zenith_2,solar_zenith_3,solar_zenith_4,solar_zenith_5,solar_zenith_6,solar_zenith_7,solar_zenith_8,solar_azimuth_0,solar_azimuth_1,solar_azimuth_2,solar_azimuth_3,solar_azimuth_4,solar_azimuth_5,solar_azimuth_6,solar_azimuth_7,solar_azimuth_8
2018-08-28 10:28:23,2263,2267,2267,2279,2279,2263,2279,2284,2280,2195,2197,2197,2201,2201,2195,2201,2186,2210,4720.0,4728.0,4680.0,4704.0,4704.0,4688.0,4736.0,4720.0,4748.0,4724.0,4716.0,4740.0,4756.0,4720.0,4772.0,4740.0,4792.0,4772.0,4792.0,4796.0,4784.0,4780.0,4848.0,4800.0,4860.0,4780.0,4856.0,5224.0,5248.0,5184.0,5192.0,5224.0,5216.0,5200.0,5260.0,5248.0,4954.0,4947.0,4947.0,4952.0,4952.0,4954.0,4952.0,4987.0,4950.0,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.06274509803921569,0.06274509803921569,0.06274509803921569,0.058823529411764705,0.058823529411764705,0.06274509803921569,0.058823529411764705,0.06274509803921569,0.058823529411764705,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,61.3771736223416,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855,37.4635371912855
2018-12-14 10:38:15,3274,3117,3117,3210,3210,3274,3210,3308,3379,2938,2582,2582,2712,2712,2938,2712,2849,2901,2264.0,2416.0,2288.0,2300.0,2770.0,2642.0,2820.0,3098.0,2620.0,2252.0,2326.0,2442.0,2308.0,2668.0,2480.0,2856.0,2924.0,2732.0,2136.0,2118.0,2320.0,2208.0,2346.0,2214.0,2520.0,2508.0,2564.0,3318.0,3510.0,3536.0,3586.0,3992.0,3658.0,4092.0,4080.0,3980.0,3803.0,3496.0,3496.0,3668.0,3668.0,3803.0,3668.0,3665.0,3837.0,0.19607843137254902,0.20392156862745098,0.20784313725490197,0.21568627450980393,0.2235294117647059,0.1803921568627451,0.21176470588235294,0.17254901960784313,0.20392156862745098,0.22745098039215686,0.23137254901960785,0.23529411764705882,0.24313725490196078,0.24705882352941178,0.21176470588235294,0.23529411764705882,0.20392156862745098,0.23529411764705882,31.2543770618,31.2543770618,31.2543770618,31.2543770618,31.2543770618,31.2543770618,31.2543770618,31.2543770618,31.2543770618,57.9608220423,57.9608220423,57.9608220423,57.9608220423,57.9608220423,57.9608220423,57.9608220423,57.9608220423,57.9608220423
2018-12-16 10:28:16,5487,5451,5451,5445,5445,5487,5445,5537,5410,4050,4024,4024,4006,4006,4050,4006,4104,3990,8392.0,8416.0,8336.0,8296.0,8336.0,8440.0,8296.0,8480.0,8304.0,7808.0,7816.0,7812.0,7808.0,7788.0,7848.0,7728.0,7872.0,7736.0,7360.0,7408.0,7472.0,7416.0,7388.0,7404.0,7332.0,7448.0,7284.0,7536.0,7572.0,7560.0,7520.0,7508.0,7572.0,7500.0,7592.0,7480.0,7384.0,7361.0,7361.0,7387.0,7387.0,7384.0,7387.0,7505.0,7365.0,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.0392156862745098,0.043137254901960784,0.0392156862745098,0.043137254901960784,0.0392156862745098,32.8808651905,32.8808651905,32.8808651905,32.8808651905,32.8808651905,32.8808651905,32.8808651905,32.8808651905,32.8808651905,61.5837517962,61.5837517962,61.5837517962,61.5837517962,61.5837517962,61.5837517962,61.5837517962,61.5837517962,61.5837517962
2018-12-19 10:38:13,3879,3888,3888,3890,3890,3879,3890,3880,3919,2740,2768,2768,2775,2775,2740,2775,2759,2792,6812.0,6812.0,6784.0,6808.0,6828.0,6784.0,6828.0,6748.0,6828.0,6896.0,6932.0,6904.0,6920.0,6916.0,6920.0,6904.0,6904.0,6964.0,6976.0,7020.0,7012.0,6988.0,7032.0,7044.0,7032.0,7072.0,7032.0,7540.0,7516.0,7508.0,7540.0,7520.0,7524.0,7560.0,7508.0,7568.0,7385.0,7430.0,7430.0,7387.0,7387.0,7385.0,7387.0,7439.0,7437.0,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.054901960784313725,0.058823529411764705,0.054901960784313725,0.058823529411764705,0.054901960784313725,31.4738819875,31.4738819875,31.4738819875,31.4738819875,31.4738819875,31.4738819875,31.4738819875,31.4738819875,31.4738819875,59.0435022482,59.0435022482,59.0435022482,59.0435022482,59.0435022482,59.0435022482,59.0435022482,59.0435022482,59.0435022482
2018-12-21 10:28:20,2676,2757,2757,2822,2822,2676,2822,2732,2801,2317,2332,2332,2394,2394,2317,2394,2353,2477,2152.0,2032.0,1964.0,1986.0,1922.0,2114.0,1778.0,2178.0,1614.0,2330.0,2258.0,2178.0,2166.0,2150.0,2314.0,2002.0,2344.0,1868.0,2066.0,2120.0,2130.0,2124.0,2106.0,2150.0,2068.0,2194.0,2014.0,3628.0,3542.0,3452.0,3352.0,3282.0,3686.0,3174.0,3626.0,3034.0,3513.0,3515.0,3515.0,3622.0,3622.0,3513.0,3622.0,3532.0,3761.0,0.047058823529411764,0.054901960784313725,0.06274509803921569,0.07450980392156863,0.08235294117647059,0.043137254901960784,0.08627450980392157,0.043137254901960784,0.09019607843137255,0.1411764705882353,0.14901960784313725,0.1568627450980392,0.16862745098039217,0.1843137254901961,0.13725490196078433,0.18823529411764706,0.13333333333333333,0.19607843137254902,33.1628404761,33.1628404761,33.1628404761,33.1628404761,33.1628404761,33.1628404761,33.1628404761,33.1628404761,33.1628404761,62.4817863042,62.4817863042,62.4817863042,62.4817863042,62.4817863042,62.4817863042,62.4817863042,62.4817863042,62.4817863042
2018-12-24 10:38:17,52,88,88,110,110,52,110,48,89,41,69,69,85,85,41,85,45,76,76.0,79.0,79.0,86.0,73.0,70.0,45.0,65.0,69.0,96.0,86.0,86.0,101.0,91.0,93.0,82.0,87.0,84.0,50.0,54.0,60.0,60.0,56.0,48.0,28.0,41.0,37.0,1.0,1.0,6.0,5.0,14.0,1.0,1.0,16.0,3.0,,36.0,36.0,32.0,32.0,,32.0,,36.0,0.9450980392156862,0.9450980392156862,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9450980392156862,0.9411764705882353,0.9450980392156862,0.9450980392156862,0.9058823529411765,0.9058823529411765,0.9098039215686274,0.9098039215686274,0.9098039215686274,0.9019607843137255,0.9098039215686274,0.9019607843137255,0.9098039215686274,31.8322902203,31.8322902203,31.8322902203,31.8322902203,31.8322902203,31.8322902203,31.8322902203,31.8322902203,31.8322902203,59.8394314073,59.8394314073,59.8394314073,59.8394314073,59.8394314073,59.8394314073,59.8394314073,59.8394314073,59.8394314073
2018-12-26 10:28:18,5518,5593,5593,5664,5664,5518,5664,5697,5845,4178,4124,4124,4132,4132,4178,4132,4224,4379,11640.0,11600.0,11680.0,11768.0,11816.0,11736.0,11776.0,11800.0,11784.0,10616.0,10632.0,10664.0,10720.0,10768.0,10680.0,10712.0,10704.0,10736.0,9968.0,9992.0,10000.0,9968.0,10096.0,9992.0,10096.0,10016.0,10032.0,9464.0,9464.0,9432.0,9552.0,9696.0,9496.0,9608.0,9496.0,9568.0,9040.0,9213.0,9213.0,9263.0,9263.0,9040.0,9263.0,9106.0,9267.0,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,33.6093431887,33.6093431887,33.6093431887,33.6093431887,33.6093431887,33.6093431887,33.6093431887,33.6093431887,33.6093431887,63.1575759293,63.1575759293,63.1575759293,63.1575759293,63.1575759293,63.1575759293,63.1575759293,63.1575759293,63.1575759293
2018-12-29 10:38:15,63,88,88,111,111,63,111,64,106,65,75,75,85,85,65,85,52,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,0.9450980392156862,0.9411764705882353,0.9372549019607843,0.9372549019607843,0.9411764705882353,0.9450980392156862,0.9411764705882353,0.9450980392156862,0.9411764705882353,0.8980392156862745,0.8980392156862745,0.8980392156862745,0.9019607843137255,0.9019607843137255,0.8980392156862745,0.9019607843137255,0.8941176470588236,0.9019607843137255,32.3535712245,32.3535712245,32.3535712245,32.3535712245,32.3535712245,32.3535712245,32.3535712245,32.3535712245,32.3535712245,60.4053450509,60.4053450509,60.4053450509,60.4053450509,60.4053450509,60.4053450509,60.4053450509,60.4053450509,60.4053450509
2018-12-31 10:28:22,94,120,120,102,102,94,102,69,97,65,120,120,98,98,65,98,55,81,70.0,68.0,62.0,69.0,76.0,59.0,64.0,59.0,49.0,29.0,19.0,29.0,47.0,47.0,37.0,42.0,31.0,18.0,13.0,21.0,1.0,26.0,26.0,13.0,20.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8274509803921568,0.8274509803921568,0.8274509803921568,0.8274509803921568,0.8313725490196079,0.8274509803921568,0.8274509803921568,0.8274509803921568,0.8274509803921568,0.8823529411764706,0.8862745098039215,0.8862745098039215,0.8901960784313725,0.8901960784313725,0.8823529411764706,0.8901960784313725,0.8823529411764706,0.8901960784313725,34.1718201169,34.1718201169,34.1718201169,34.1718201169,34.1718201169,34.1718201169,34.1718201169,34.1718201169,34.1718201169,63.5314567077,63.5314567077,63.5314567077,63.5314567077,63.5314567077,63.5314567077,63.5314567077,63.5314567077,63.5314567077
2019-01-03 10:38:19,285,275,275,259,259,285,259,232,224,253,255,255,234,234,253,234,216,207,243.0,193.0,195.0,222.0,199.0,203.0,180.0,193.0,160.0,256.0,232.0,231.0,227.0,214.0,218.0,212.0,199.0,171.0,247.0,232.0,232.0,230.0,204.0,215.0,195.0,184.0,167.0,186.0,156.0,139.0,160.0,160.0,170.0,155.0,141.0,120.0,239.0,222.0,222.0,215.0,215.0,239.0,215.0,190.0,172.0,0.9215686274509803,0.9294117647058824,0.9333333333333333,0.9411764705882353,0.9450980392156862,0.9215686274509803,0.9411764705882353,0.9176470588235294,0.9294117647058824,0.8705882352941177,0.8784313725490196,0.8823529411764706,0.8901960784313725,0.8901960784313725,0.8745098039215686,0.8941176470588236,0.8784313725490196,0.8941176470588236,32.987703771,32.987703771,32.987703771,32.987703771,32.987703771,32.987703771,32.987703771,32.987703771,32.987703771,60.6568371964,60.6568371964,60.6568371964,60.6568371964,60.6568371964,60.6568371964,60.6568371964,60.6568371964,60.6568371964
