id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20180827T222541_20180827T222807_T59GMM,170.89159197941186,-43.99925803735313,1535408903936,4728.0,4716.0,4796.0,5248.0,4947.0,2267,2197,2018-08-28 10:28:23
20181213T223659_20181213T223656_T59GMM,170.89159197941186,-43.99925803735313,1544740695731,2416.0,2326.0,2118.0,3510.0,3496.0,3117,2582,2018-12-14 10:38:15
20181215T222531_20181215T222536_T59GMM,170.89159197941186,-43.99925803735313,1544912896000,8416.0,7816.0,7408.0,7572.0,7361.0,5451,4024,2018-12-16 10:28:16
20181218T223651_20181218T223734_T59GMM,170.89159197941186,-43.99925803735313,1545172693000,6812.0,6932.0,7020.0,7516.0,7430.0,3888,2768,2018-12-19 10:38:13
20181220T222539_20181220T222533_T59GMM,170.89159197941186,-43.99925803735313,1545344900000,2032.0,2258.0,2120.0,3542.0,3515.0,2757,2332,2018-12-21 10:28:20
20181223T223659_20181223T223658_T59GMM,170.89159197941186,-43.99925803735313,1545604697000,79.0,86.0,54.0,1.0,36.0,88,69,2018-12-24 10:38:17
20181225T222531_20181225T222541_T59GMM,170.89159197941186,-43.99925803735313,1545776898000,11600.0,10632.0,9992.0,9464.0,9213.0,5593,4124,2018-12-26 10:28:18
20181228T223701_20181228T223736_T59GMM,170.89159197941186,-43.99925803735313,1546036695000,1.0,1.0,1.0,1.0,,88,75,2018-12-29 10:38:15
20181230T222539_20181230T222535_T59GMM,170.89159197941186,-43.99925803735313,1546208902000,68.0,19.0,21.0,1.0,1.0,120,120,2018-12-31 10:28:22
20190102T223659_20190102T223700_T59GMM,170.89159197941186,-43.99925803735313,1546468699000,193.0,232.0,232.0,156.0,222.0,275,255,2019-01-03 10:38:19
20190104T222531_20190104T222532_T59GMM,170.89159197941186,-43.99925803735313,1546640900000,1.0,1.0,1.0,1.0,1.0,107,86,2019-01-05 10:28:20
20190107T223701_20190107T223722_T59GMM,170.89159197941186,-43.99925803735313,1546900697000,146.0,130.0,87.0,22.0,49.0,125,112,2019-01-08 10:38:17
20190109T222539_20190109T222536_T59GMM,170.89159197941186,-43.99925803735313,1547072904000,5516.0,5044.0,4732.0,4952.0,5009.0,3677,2678,2019-01-10 10:28:24
20190112T223659_20190112T223701_T59GMM,170.89159197941186,-43.99925803735313,1547332701000,9648.0,9096.0,8712.0,9176.0,8321.0,3994,4545,2019-01-13 10:38:21
20190114T222531_20190114T222533_T59GMM,170.89159197941186,-43.99925803735313,1547504901410,3382.0,3012.0,2690.0,3782.0,3418.0,2637,2005,2019-01-15 10:28:21
20190117T223701_20190117T223658_T59GMM,170.89159197941186,-43.99925803735313,1547764698000,7256.0,6972.0,6684.0,7280.0,7218.0,5620,4537,2019-01-18 10:38:18
20190119T222539_20190119T222537_T59GMM,170.89159197941186,-43.99925803735313,1547936905000,16.0,1.0,1.0,1.0,1.0,93,87,2019-01-20 10:28:25
20190122T223659_20190122T223702_T59GMM,170.89159197941186,-43.99925803735313,1548196702000,201.0,249.0,138.0,1.0,42.0,183,181,2019-01-23 10:38:22
20190124T222531_20190124T222534_T59GMM,170.89159197941186,-43.99925803735313,1548368902000,2244.0,2418.0,2756.0,4092.0,4745.0,3734,3082,2019-01-25 10:28:22
20190127T223701_20190127T223659_T59GMM,170.89159197941186,-43.99925803735313,1548628698000,3096.0,3044.0,2986.0,3664.0,4052.0,3850,3345,2019-01-28 10:38:18
20190129T222539_20190129T222538_T59GMM,170.89159197941186,-43.99925803735313,1548800905000,1254.0,1252.0,1158.0,1802.0,1821.0,1248,1024,2019-01-30 10:28:25
20190201T223659_20190201T223702_T59GMM,170.89159197941186,-43.99925803735313,1549060702000,84.0,123.0,68.0,44.0,72.0,105,92,2019-02-02 10:38:22
20190203T222531_20190203T222534_T59GMM,170.89159197941186,-43.99925803735313,1549232902000,1.0,1.0,1.0,1.0,1.0,92,95,2019-02-04 10:28:22
20190206T223701_20190206T223659_T59GMM,170.89159197941186,-43.99925803735313,1549492698000,5168.0,4932.0,4784.0,5624.0,5493.0,4427,3530,2019-02-07 10:38:18
20190208T222539_20190208T222538_T59GMM,170.89159197941186,-43.99925803735313,1549664905000,1.0,1.0,1.0,1.0,1.0,88,101,2019-02-09 10:28:25
20190211T223659_20190211T223702_T59GMM,170.89159197941186,-43.99925803735313,1549924702000,1.0,47.0,1.0,1.0,1.0,104,102,2019-02-12 10:38:22
20190213T222531_20190213T222534_T59GMM,170.89159197941186,-43.99925803735313,1550096902000,2806.0,2736.0,2710.0,3606.0,3451.0,2253,1999,2019-02-14 10:28:22
20190216T223701_20190216T223659_T59GMM,170.89159197941186,-43.99925803735313,1550356698000,1.0,41.0,9.0,1.0,1.0,110,74,2019-02-17 10:38:18
20190218T222429_20190218T222423_T59GMM,170.89159197941186,-43.99925803735313,1550528905000,145.0,200.0,177.0,252.0,258.0,424,304,2019-02-19 10:28:25
20190221T223439_20190221T223550_T59GMM,170.89159197941186,-43.99925803735313,1550788701000,4332.0,4208.0,4128.0,4720.0,4726.0,4678,4655,2019-02-22 10:38:21
20190223T222531_20190223T222533_T59GMM,170.89159197941186,-43.99925803735313,1550960901000,7236.0,6876.0,6632.0,6888.0,6558.0,3633,3121,2019-02-24 10:28:21
20190226T223701_20190226T223658_T59GMM,170.89159197941186,-43.99925803735313,1551220697000,22.0,76.0,25.0,1.0,9.0,164,151,2019-02-27 10:38:17
20190228T222539_20190228T222536_T59GMM,170.89159197941186,-43.99925803735313,1551392903000,62.0,122.0,49.0,1.0,26.0,142,102,2019-03-01 10:28:23
20190303T223659_20190303T223812_T59GMM,170.89159197941186,-43.99925803735313,1551652702000,151.0,179.0,106.0,92.0,103.0,185,154,2019-03-04 10:38:22
20190305T222531_20190305T222532_T59GMM,170.89159197941186,-43.99925803735313,1551824899000,44.0,160.0,74.0,30.0,88.0,147,142,2019-03-06 10:28:19
20190308T223701_20190308T223657_T59GMM,170.89159197941186,-43.99925803735313,1552084696000,14.0,129.0,57.0,7.0,63.0,182,141,2019-03-09 10:38:16
20190310T222539_20190310T222604_T59GMM,170.89159197941186,-43.99925803735313,1552256902000,2618.0,2442.0,2292.0,2900.0,2721.0,1536,1438,2019-03-11 10:28:22
20190313T223659_20190313T223659_T59GMM,170.89159197941186,-43.99925803735313,1552516699000,7940.0,7452.0,7104.0,7228.0,6743.0,3050,2443,2019-03-14 10:38:19
20190315T222531_20190315T222534_T59GMM,170.89159197941186,-43.99925803735313,1552688902062,7596.0,7124.0,6792.0,6504.0,6417.0,4494,3540,2019-03-16 10:28:22
20190318T223701_20190318T223700_T59GMM,170.89159197941186,-43.99925803735313,1552948699000,7464.0,7132.0,6900.0,6624.0,6756.0,5009,3589,2019-03-19 10:38:19
20190320T222539_20190320T222537_T59GMM,170.89159197941186,-43.99925803735313,1553120904000,5000.0,4952.0,4840.0,5080.0,5213.0,5283,5006,2019-03-21 10:28:24
20190323T223659_20190323T223702_T59GMM,170.89159197941186,-43.99925803735313,1553380702000,74.0,129.0,37.0,11.0,40.0,120,106,2019-03-24 10:38:22
20190325T222541_20190325T222537_T59GMM,170.89159197941186,-43.99925803735313,1553552904000,1938.0,1826.0,1806.0,2112.0,2678.0,1893,1834,2019-03-26 10:28:24
20190328T223701_20190328T223702_T59GMM,170.89159197941186,-43.99925803735313,1553812701000,178.0,244.0,163.0,130.0,157.0,268,179,2019-03-29 10:38:21
20190330T222539_20190330T222539_T59GMM,170.89159197941186,-43.99925803735313,1553984907000,106.0,138.0,72.0,25.0,1.0,135,121,2019-03-31 10:28:27
20190402T223709_20190402T223705_T59GMM,170.89159197941186,-43.99925803735313,1554244704000,100.0,194.0,91.0,17.0,60.0,146,108,2019-04-03 10:38:24
20190404T222541_20190404T222538_T59GMM,170.89159197941186,-43.99925803735313,1554416906000,1490.0,1772.0,1832.0,2438.0,2561.0,2129,1925,2019-04-05 10:28:26
20190407T223701_20190407T223704_T59GMM,170.89159197941186,-43.99925803735313,1554676703000,45.0,121.0,53.0,57.0,3.0,198,105,2019-04-08 10:38:23
20190409T222539_20190409T222542_T59GMM,170.89159197941186,-43.99925803735313,1554848909000,1302.0,1764.0,2068.0,3030.0,3101.0,2864,2347,2019-04-10 10:28:29
20190412T223709_20190412T223707_T59GMM,170.89159197941186,-43.99925803735313,1555108707000,9.0,74.0,34.0,1.0,53.0,108,92,2019-04-13 10:38:27
20190414T222541_20190414T222540_T59GMM,170.89159197941186,-43.99925803735313,1555280907000,5.0,136.0,49.0,24.0,25.0,172,89,2019-04-15 10:28:27
20190417T223711_20190417T223705_T59GMM,170.89159197941186,-43.99925803735313,1555540704000,5140.0,4916.0,4672.0,4816.0,4557.0,3840,3071,2019-04-18 10:38:24
20190419T222549_20190419T222631_T59GMM,170.89159197941186,-43.99925803735313,1555712911000,175.0,192.0,174.0,246.0,267.0,265,191,2019-04-20 10:28:31
20190422T223709_20190422T223709_T59GMM,170.89159197941186,-43.99925803735313,1555972708000,45.0,117.0,35.0,,38.0,126,86,2019-04-23 10:38:28
20190424T222541_20190424T222657_T59GMM,170.89159197941186,-43.99925803735313,1556144908000,143.0,286.0,184.0,164.0,144.0,230,218,2019-04-25 10:28:28
20190427T223711_20190427T223706_T59GMM,170.89159197941186,-43.99925803735313,1556404705000,3694.0,3896.0,3852.0,5116.0,4497.0,3443,3289,2019-04-28 10:38:25
20190429T222549_20190429T222545_T59GMM,170.89159197941186,-43.99925803735313,1556576913000,16.0,60.0,1.0,1.0,12.0,120,81,2019-04-30 10:28:33
20190502T223709_20190502T223710_T59GMM,170.89159197941186,-43.99925803735313,1556836709000,1.0,48.0,1.0,15.0,22.0,91,82,2019-05-03 10:38:29
20190504T222541_20190504T222603_T59GMM,170.89159197941186,-43.99925803735313,1557008909000,6480.0,6688.0,6744.0,7596.0,7080.0,2779,3022,2019-05-05 10:28:29
20190507T223711_20190507T223706_T59GMM,170.89159197941186,-43.99925803735313,1557268705000,7544.0,7096.0,6556.0,7128.0,6660.0,5019,4788,2019-05-08 10:38:25
20190509T222549_20190509T222546_T59GMM,170.89159197941186,-43.99925803735313,1557440913000,1.0,1.0,1.0,1.0,1.0,90,90,2019-05-10 10:28:33
20190512T223709_20190512T223711_T59GMM,170.89159197941186,-43.99925803735313,1557700710000,1.0,1.0,1.0,2.0,34.0,94,91,2019-05-13 10:38:30
20190514T222541_20190514T222606_T59GMM,170.89159197941186,-43.99925803735313,1557872909000,4752.0,4740.0,4432.0,5244.0,5051.0,3888,3264,2019-05-15 10:28:29
20190517T223711_20190517T223706_T59GMM,170.89159197941186,-43.99925803735313,1558132705000,1.0,341.0,836.0,646.0,1280.0,1122,1057,2019-05-18 10:38:25
20190519T222549_20190519T222633_T59GMM,170.89159197941186,-43.99925803735313,1558304914000,1.0,2.0,1.0,1.0,8.0,117,95,2019-05-20 10:28:34
20190522T223709_20190522T223711_T59GMM,170.89159197941186,-43.99925803735313,1558564710000,1.0,1.0,1.0,1.0,23.0,91,69,2019-05-23 10:38:30
20190524T222541_20190524T222541_T59GMM,170.89159197941186,-43.99925803735313,1558736908000,342.0,374.0,333.0,521.0,477.0,461,389,2019-05-25 10:28:28
20190527T223711_20190527T223705_T59GMM,170.89159197941186,-43.99925803735313,1558996705000,920.0,1228.0,1330.0,2050.0,1861.0,1526,1204,2019-05-28 10:38:25
20190529T222549_20190529T222546_T59GMM,170.89159197941186,-43.99925803735313,1559168913000,1.0,1.0,1.0,49.0,94.0,143,128,2019-05-30 10:28:33
20190601T223709_20190601T223710_T59GMM,170.89159197941186,-43.99925803735313,1559428710000,,,,,104.0,17,29,2019-06-02 10:38:30
20190603T222541_20190603T222540_T59GMM,170.89159197941186,-43.99925803735313,1559600907000,8992.0,8504.0,8208.0,7916.0,8022.0,2535,3261,2019-06-04 10:28:27
20190606T223701_20190606T223704_T59GMM,170.89159197941186,-43.99925803735313,1559860703000,1.0,1.0,,38.0,43.0,82,71,2019-06-07 10:38:23
20190608T222549_20190608T222632_T59GMM,170.89159197941186,-43.99925803735313,1560032913000,2674.0,2944.0,3110.0,4112.0,3673.0,2216,2044,2019-06-09 10:28:33
20190611T223709_20190611T223709_T59GMM,170.89159197941186,-43.99925803735313,1560292709000,10408.0,9720.0,9200.0,10016.0,9121.0,4131,4205,2019-06-12 10:38:29
20190613T222541_20190613T222541_T59GMM,170.89159197941186,-43.99925803735313,1560464908000,1112.0,1250.0,1328.0,2198.0,1845.0,1569,1308,2019-06-14 10:28:28
20190616T223711_20190616T223706_T59GMM,170.89159197941186,-43.99925803735313,1560724705000,1.0,56.0,6.0,2.0,5.0,127,78,2019-06-17 10:38:25
20190618T222549_20190618T222545_T59GMM,170.89159197941186,-43.99925803735313,1560896913000,234.0,218.0,168.0,196.0,190.0,282,230,2019-06-19 10:28:33
20190621T223709_20190621T223710_T59GMM,170.89159197941186,-43.99925803735313,1561156710000,6460.0,6364.0,6348.0,7064.0,6466.0,3000,3276,2019-06-22 10:38:30
20190623T222541_20190623T222542_T59GMM,170.89159197941186,-43.99925803735313,1561328909760,1.0,64.0,1.0,9.0,24.0,78,79,2019-06-24 10:28:29
20190626T223711_20190626T223707_T59GMM,170.89159197941186,-43.99925803735313,1561588706585,1.0,54.0,1.0,8.0,,119,101,2019-06-27 10:38:26
20190628T222549_20190628T222546_T59GMM,170.89159197941186,-43.99925803735313,1561760913999,52.0,218.0,330.0,725.0,606.0,811,648,2019-06-29 10:28:33
20190701T223709_20190701T223711_T59GMM,170.89159197941186,-43.99925803735313,1562020710738,3946.0,3858.0,3972.0,5260.0,4543.0,3114,3026,2019-07-02 10:38:30
20190703T222541_20190703T222543_T59GMM,170.89159197941186,-43.99925803735313,1562192910473,5.0,86.0,19.0,25.0,1.0,99,118,2019-07-04 10:28:30
20190706T223711_20190706T223707_T59GMM,170.89159197941186,-43.99925803735313,1562452707176,1.0,18.0,1.0,,46.0,120,112,2019-07-07 10:38:27
20190708T222549_20190708T222633_T59GMM,170.89159197941186,-43.99925803735313,1562624914319,1718.0,1756.0,1740.0,3320.0,2928.0,2404,1951,2019-07-09 10:28:34
20190711T223709_20190711T223711_T59GMM,170.89159197941186,-43.99925803735313,1562884710909,8896.0,8104.0,7632.0,8188.0,6950.0,3213,3552,2019-07-12 10:38:30
20190713T222541_20190713T222713_T59GMM,170.89159197941186,-43.99925803735313,1563056910724,1.0,1.0,5.0,1.0,18.0,74,112,2019-07-14 10:28:30
20190716T223711_20190716T223707_T59GMM,170.89159197941186,-43.99925803735313,1563316707307,15928.0,15848.0,15664.0,15488.0,15486.0,4117,4172,2019-07-17 10:38:27
20190718T222549_20190718T222546_T59GMM,170.89159197941186,-43.99925803735313,1563488914233,8968.0,8776.0,8592.0,9352.0,8421.0,3531,3836,2019-07-19 10:28:34
20190721T223709_20190721T223711_T59GMM,170.89159197941186,-43.99925803735313,1563748710701,1.0,1.0,1.0,1.0,2.0,10,23,2019-07-22 10:38:30
20190723T222541_20190723T222543_T59GMM,170.89159197941186,-43.99925803735313,1563920910575,987.0,1190.0,1288.0,1966.0,1871.0,1934,1754,2019-07-24 10:28:30
20190726T223711_20190726T223707_T59GMM,170.89159197941186,-43.99925803735313,1564180707010,1.0,510.0,780.0,1744.0,1660.0,1730,1487,2019-07-27 10:38:27
20190728T222549_20190728T222633_T59GMM,170.89159197941186,-43.99925803735313,1564352913709,7440.0,7744.0,8068.0,8680.0,8589.0,5427,5311,2019-07-29 10:28:33
20190731T223709_20190731T223710_T59GMM,170.89159197941186,-43.99925803735313,1564612710083,125.0,266.0,120.0,24.0,41.0,100,83,2019-08-01 10:38:30
20190802T222541_20190802T222542_T59GMM,170.89159197941186,-43.99925803735313,1564784910030,1.0,192.0,107.0,14.0,49.0,134,92,2019-08-03 10:28:30
20190805T223711_20190805T223707_T59GMM,170.89159197941186,-43.99925803735313,1565044706351,77.0,255.0,131.0,79.0,108.0,151,144,2019-08-06 10:38:26
20190807T222549_20190807T222545_T59GMM,170.89159197941186,-43.99925803735313,1565216912794,1.0,1.0,1.0,1.0,402.0,399,537,2019-08-08 10:28:32
20190810T223709_20190810T223709_T59GMM,170.89159197941186,-43.99925803735313,1565476709026,1709.0,1857.0,2068.0,2754.0,2696.0,1456,974,2019-08-11 10:38:29
20190812T222541_20190812T222624_T59GMM,170.89159197941186,-43.99925803735313,1565648909034,1.0,82.0,34.0,13.0,38.0,89,76,2019-08-13 10:28:29
20190815T223711_20190815T223705_T59GMM,170.89159197941186,-43.99925803735313,1565908705255,1.0,57.0,303.0,808.0,774.0,841,748,2019-08-16 10:38:25
20190817T222549_20190817T222800_T59GMM,170.89159197941186,-43.99925803735313,1566080911498,84.0,107.0,29.0,1.0,1.0,102,77,2019-08-18 10:28:31
20190820T223709_20190820T223708_T59GMM,170.89159197941186,-43.99925803735313,1566340707610,5092.0,4960.0,5064.0,6080.0,5845.0,5174,4519,2019-08-21 10:38:27
20190822T222541_20190822T222804_T59GMM,170.89159197941186,-43.99925803735313,1566512907642,1.0,2.0,85.0,326.0,360.0,346,284,2019-08-23 10:28:27
20190825T223701_20190825T223704_T59GMM,170.89159197941186,-43.99925803735313,1566772703727,2018.0,2414.0,2712.0,3608.0,3633.0,1673,1571,2019-08-26 10:38:23
20190827T222539_20190827T222629_T59GMM,170.89159197941186,-43.99925803735313,1566944909760,356.0,691.0,850.0,1632.0,1448.0,1439,1108,2019-08-28 10:28:29
20190830T223709_20190830T223706_T59GMM,170.89159197941186,-43.99925803735313,1567204705776,58.0,82.0,40.0,35.0,93.0,113,97,2019-08-31 10:38:25
20190901T222541_20190901T222538_T59GMM,170.89159197941186,-43.99925803735313,1567376905875,1.0,5.0,1.0,8.0,18.0,121,124,2019-09-02 10:28:25
20190904T223701_20190904T223706_T59GMM,170.89159197941186,-43.99925803735313,1567636701822,4476.0,4732.0,5044.0,5820.0,5727.0,4597,3735,2019-09-05 10:38:21
20190906T222539_20190906T222734_T59GMM,170.89159197941186,-43.99925803735313,1567808907594,39.0,17.0,1.0,1.0,48.0,101,81,2019-09-07 10:28:27
20190909T223709_20190909T223703_T59GMM,170.89159197941186,-43.99925803735313,1568068703463,31.0,49.0,24.0,4.0,26.0,106,82,2019-09-10 10:38:23
20190911T222541_20190911T222536_T59GMM,170.89159197941186,-43.99925803735313,1568240903772,5304.0,4976.0,4948.0,5804.0,5692.0,3954,3786,2019-09-12 10:28:23
20190914T223701_20190914T223701_T59GMM,170.89159197941186,-43.99925803735313,1568500701008,17.0,55.0,18.0,14.0,87.0,100,82,2019-09-15 10:38:21
