Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20180816:0000,301,3.6,36,16.5,263,0.2,8.7,5.0,51.7,16.4,1.9,-,-,-,-,-,-,994.5,947.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180817:0000,210,1.2,143,6.7,200,2.4,4.7,3.2,76.5,7.3,2.0,-,-,-,-,-,-,999.4,951.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180818:0000,310,1.8,306,5.1,153,0.0,2.6,1.6,81.3,9.2,-0.5,-,-,-,-,-,-,1012.4,963.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180819:0000,24,2.9,274,5.1,131,0.0,1.8,-0.2,65.8,8.9,-2.5,-,-,-,-,-,-,1010.3,961.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180820:0000,248,0.9,289,5.7,210,0.0,0.5,-0.1,89.2,6.8,-1.6,-,-,-,-,-,-,998.0,949.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180821:0000,278,3.9,188,7.2,185,0.0,5.2,3.5,73.9,11.6,0.5,-,-,-,-,-,-,986.6,939.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180822:0000,281,4.1,282,9.3,224,0.0,6.3,3.5,58.7,12.8,1.3,-,-,-,-,-,-,993.6,946.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180823:0000,-,-,109,5.7,131,1.8,2.4,0.7,69.5,9.6,-1.7,-,-,-,-,-,-,1004.6,956.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180824:0000,22,1.7,220,9.3,230,0.2,5.1,3.5,74.8,10.7,1.3,-,-,-,-,-,-,1010.5,962.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180825:0000,116,1.5,70,7.7,195,0.0,6.2,4.5,74.6,10.3,0.0,-,-,-,-,-,-,1011.0,963.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180826:0000,293,2.6,274,7.7,209,0.0,10.3,6.8,55.9,16.3,1.4,-,-,-,-,-,-,1014.2,966.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180827:0000,7,2.3,327,12.4,208,0.0,9.4,6.0,56.6,17.1,3.2,-,-,-,-,-,-,1015.7,968.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180828:0000,121,2.4,107,9.8,227,3.0,6.9,6.0,87.1,7.2,3.8,-,-,-,-,-,-,1024.0,975.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180829:0000,133,0.5,300,7.2,210,6.4,4.5,4.2,94.5,7.1,4.3,-,-,-,-,-,-,1015.7,967.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180830:0000,281,3.8,279,7.2,140,0.2,7.1,4.9,68.0,12.0,1.9,-,-,-,-,-,-,1007.8,960.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180831:0000,301,1.1,116,8.2,152,0.0,6.9,4.9,70.9,10.6,2.2,-,-,-,-,-,-,1010.4,962.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180901:0000,271,0.6,122,5.1,149,0.2,6.2,4.0,67.4,13.2,0.2,-,-,-,-,-,-,998.3,951.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180902:0000,133,1.7,111,7.7,165,17.0,4.7,4.4,94.6,8.8,4.5,-,-,-,-,-,-,992.1,944.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180903:0000,250,4.3,253,10.8,288,0.0,5.1,2.8,64.7,8.3,4.3,-,-,-,-,-,-,1010.0,962.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180904:0000,333,2.6,105,8.2,155,0.2,7.2,4.2,57.6,9.9,4.1,-,-,-,-,-,-,1027.8,979.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180905:0000,344,1.4,143,6.2,132,0.0,5.0,3.0,69.0,8.9,3.9,-,-,-,-,-,-,1034.2,985.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180906:0000,301,1.1,128,5.7,157,0.0,3.9,2.3,73.6,9.0,-0.2,-,-,-,-,-,-,1030.6,981.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180907:0000,173,2.0,115,6.7,167,0.0,4.7,2.9,71.6,8.7,1.3,-,-,-,-,-,-,1029.5,980.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180908:0000,209,0.7,128,5.7,162,0.0,4.1,2.8,77.9,9.2,-0.7,-,-,-,-,-,-,1022.6,973.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180909:0000,290,1.8,116,5.1,116,0.0,3.6,2.7,83.8,10.3,1.3,-,-,-,-,-,-,1014.1,965.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180910:0000,280,0.4,122,4.1,110,0.0,4.6,4.0,90.0,8.6,3.6,-,-,-,-,-,-,1008.9,960.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180911:0000,324,1.1,205,9.3,193,0.0,8.4,6.3,71.8,14.9,2.8,-,-,-,-,-,-,1014.5,966.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180912:0000,178,1.1,296,5.1,159,0.0,7.4,5.8,76.4,17.6,1.1,-,-,-,-,-,-,1019.5,971.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180913:0000,174,2.6,323,12.9,281,0.0,15.8,7.5,20.5,20.8,6.3,-,-,-,-,-,-,1012.9,966.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180914:0000,340,2.2,10,8.8,228,0.0,14.7,10.1,52.3,17.6,7.3,-,-,-,-,-,-,1017.9,971.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180915:0000,285,3.5,279,6.2,234,0.0,13.8,8.5,43.7,21.8,5.0,-,-,-,-,-,-,1020.4,973.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180916:0000,331,4.4,334,11.8,407,0.8,15.4,9.4,40.1,18.8,8.5,-,-,-,-,-,-,1011.2,964.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180917:0000,147,3.8,97,9.8,208,10.2,5.5,5.0,92.7,7.4,5.4,-,-,-,-,-,-,1012.5,964.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180918:0000,64,1.8,293,6.2,172,0.0,7.3,4.6,62.4,14.8,1.3,-,-,-,-,-,-,1020.1,972.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180919:0000,157,0.8,301,5.1,175,0.0,8.4,5.2,57.0,17.5,2.6,-,-,-,-,-,-,1018.7,970.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180920:0000,119,1.9,274,5.7,146,0.0,8.2,3.8,41.6,17.4,4.3,-,-,-,-,-,-,1008.4,961.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180921:0000,306,1.1,134,7.2,206,0.0,11.0,8.2,65.5,13.1,7.4,-,-,-,-,-,-,1007.8,960.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180922:0000,338,1.5,317,5.1,208,0.0,9.1,7.2,74.1,16.0,4.8,-,-,-,-,-,-,1016.7,969.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180923:0000,292,3.4,214,10.3,308,5.6,14.7,8.7,38.8,19.2,5.1,-,-,-,-,-,-,1008.9,962.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180924:0000,145,2.8,115,7.7,217,5.4,5.0,4.6,93.2,7.0,4.2,-,-,-,-,-,-,1004.4,956.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180925:0000,241,4.6,254,11.3,283,0.0,6.4,3.1,51.4,12.7,3.0,-,-,-,-,-,-,1002.2,954.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180926:0000,242,3.5,212,13.4,278,0.0,8.9,4.1,38.6,12.4,3.4,-,-,-,-,-,-,1001.8,954.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180927:0000,234,4.0,259,9.3,243,0.0,7.8,3.8,45.3,12.1,-0.7,-,-,-,-,-,-,1015.8,968.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180928:0000,3,1.4,161,6.7,211,0.0,8.1,4.8,55.4,14.2,-0.9,-,-,-,-,-,-,1019.9,972.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180929:0000,21,2.1,8,9.3,243,0.0,11.9,6.8,41.2,16.8,1.8,-,-,-,-,-,-,1016.3,969.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20180930:0000,288,1.6,113,8.2,170,0.0,6.6,5.9,90.0,12.4,4.1,-,-,-,-,-,-,1018.3,970.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181001:0000,249,2.3,275,6.7,161,0.2,5.5,5.1,93.8,11.4,3.8,-,-,-,-,-,-,1019.8,971.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181002:0000,195,0.9,141,13.9,221,1.0,7.3,5.7,76.7,17.2,4.0,-,-,-,-,-,-,1016.2,968.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181003:0000,22,1.6,122,4.6,220,0.2,4.9,3.6,79.8,13.3,2.3,-,-,-,-,-,-,1023.9,975.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181004:0000,53,1.8,264,10.3,215,0.6,11.5,7.4,51.7,16.7,4.3,-,-,-,-,-,-,1012.0,965.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181005:0000,167,2.3,128,5.7,148,0.6,5.1,4.7,93.3,9.3,5.0,-,-,-,-,-,-,1018.9,970.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181006:0000,97,0.6,285,5.1,155,0.0,6.5,5.6,87.1,14.7,2.0,-,-,-,-,-,-,1027.5,978.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181007:0000,311,0.8,130,12.9,249,0.8,7.4,5.7,75.8,17.0,2.2,-,-,-,-,-,-,1023.7,975.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181008:0000,242,1.1,123,9.3,186,0.0,6.8,5.7,83.0,13.8,5.1,-,-,-,-,-,-,1021.8,973.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181009:0000,291,1.6,307,6.2,170,0.0,10.2,6.5,53.6,17.5,0.8,-,-,-,-,-,-,1016.6,969.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181010:0000,92,1.6,113,13.9,247,7.4,9.4,6.2,58.3,19.5,5.1,-,-,-,-,-,-,1002.2,955.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181011:0000,88,1.5,113,5.7,182,16.8,4.0,3.5,91.3,10.7,3.4,-,-,-,-,-,-,1012.2,963.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181012:0000,273,1.3,143,10.8,241,6.6,1.1,0.6,90.3,4.2,1.1,-,-,-,-,-,-,1010.0,961.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181013:0000,299,2.3,262,8.8,190,0.0,3.5,0.6,51.3,12.2,-1.4,-,-,-,-,-,-,1023.7,974.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181014:0000,263,1.6,224,10.3,255,0.2,7.3,4.2,56.8,13.1,2.3,-,-,-,-,-,-,1029.3,980.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181015:0000,293,1.3,140,6.2,172,0.0,6.0,4.7,80.0,12.5,-1.4,-,-,-,-,-,-,1033.6,984.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181016:0000,286,2.5,139,6.7,195,0.2,6.2,5.4,88.2,16.6,2.7,-,-,-,-,-,-,1028.9,980.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181017:0000,286,2.8,319,8.2,192,0.4,12.0,6.8,40.5,19.6,6.2,-,-,-,-,-,-,1018.4,971.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181018:0000,120,1.6,253,8.2,194,0.0,10.4,9.6,89.2,15.1,10.2,-,-,-,-,-,-,1024.5,976.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181019:0000,319,2.7,254,8.8,231,0.0,14.8,10.3,52.9,23.6,2.9,-,-,-,-,-,-,1023.7,976.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181020:0000,146,2.3,131,7.2,174,0.0,12.5,8.9,58.7,20.1,8.3,-,-,-,-,-,-,1021.6,974.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181021:0000,43,1.4,128,6.7,195,0.0,15.0,11.5,62.9,20.3,8.9,-,-,-,-,-,-,1024.3,977.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181022:0000,133,1.5,117,6.2,203,0.0,13.6,10.8,68.5,20.8,7.6,-,-,-,-,-,-,1025.4,978.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181023:0000,340,1.4,117,8.2,208,0.0,19.5,13.1,43.6,25.3,10.6,-,-,-,-,-,-,1020.4,974.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181024:0000,351,2.3,224,13.4,323,1.8,20.0,14.7,53.5,25.7,11.4,-,-,-,-,-,-,1013.9,968.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181025:0000,132,6.2,111,10.8,149,13.8,6.9,6.5,93.3,7.2,6.9,-,-,-,-,-,-,1014.7,966.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181026:0000,111,0.8,97,5.7,132,0.2,6.4,5.0,78.3,10.4,4.5,-,-,-,-,-,-,1014.9,966.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181027:0000,98,0.7,131,6.7,168,0.0,8.2,7.2,86.6,15.9,4.7,-,-,-,-,-,-,1004.8,957.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181028:0000,140,1.0,116,5.7,207,19.0,9.2,8.0,84.3,10.6,5.4,-,-,-,-,-,-,998.9,952.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181029:0000,106,1.1,141,4.6,129,19.8,7.2,6.4,87.8,11.0,6.8,-,-,-,-,-,-,998.6,951.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181030:0000,265,1.2,-,-,188,12.0,6.9,6.2,89.5,9.8,6.4,-,-,-,-,-,-,1001.1,953.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181031:0000,124,1.5,212,10.3,226,9.0,4.7,3.9,86.3,17.7,1.1,-,-,-,-,-,-,1008.8,960.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181101:0000,232,3.8,271,11.3,266,0.2,7.5,4.4,56.4,14.7,3.8,-,-,-,-,-,-,1014.2,966.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181102:0000,280,0.9,235,8.2,158,0.0,8.3,6.1,70.3,15.9,1.3,-,-,-,-,-,-,1021.0,973.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181103:0000,240,1.3,317,23.2,550,0.4,11.9,9.1,66.6,24.8,6.6,-,-,-,-,-,-,994.5,948.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181104:0000,301,9.7,243,19.6,383,0.0,11.8,6.6,39.9,16.3,5.9,-,-,-,-,-,-,992.3,946.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181105:0000,253,1.3,208,9.8,183,0.0,15.4,9.9,44.5,22.4,3.9,-,-,-,-,-,-,1002.7,956.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181106:0000,168,1.5,259,7.7,222,0.0,9.6,8.2,82.0,19.3,4.6,-,-,-,-,-,-,1013.5,966.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181107:0000,360,2.5,247,10.8,192,2.4,18.1,11.9,43.5,24.9,9.7,-,-,-,-,-,-,1006.4,960.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181108:0000,103,2.6,348,8.8,304,74.2,14.6,13.1,83.4,15.7,13.7,-,-,-,-,-,-,995.6,949.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181109:0000,-,-,-,-,-,17.4,0.3,-0.1,92.3,6.5,0.2,-,-,-,-,-,-,1012.2,963.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181110:0000,-,-,-,-,-,0.2,6.5,5.1,79.6,13.4,0.0,-,-,-,-,-,-,1019.0,970.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181111:0000,-,-,-,-,-,0.0,10.9,8.9,74.7,17.9,4.1,-,-,-,-,-,-,1022.8,975.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181112:0000,-,-,-,-,-,3.4,14.5,9.8,50.4,18.0,7.7,-,-,-,-,-,-,1022.1,975.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181113:0000,-,-,-,-,-,0.0,12.3,10.4,77.1,17.0,5.3,-,-,-,-,-,-,1023.7,976.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181114:0000,-,-,-,-,223,0.0,12.2,10.1,75.5,19.8,5.3,-,-,-,-,-,-,1024.4,976.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181115:0000,246,2.0,115,6.2,179,0.0,17.3,11.5,44.9,23.4,9.8,-,-,-,-,-,-,1020.5,974.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181116:0000,281,2.4,121,11.3,295,6.0,14.7,9.0,41.6,15.9,11.6,-,-,-,-,-,-,1015.4,968.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181117:0000,130,1.2,136,7.2,162,0.0,9.8,8.9,88.4,17.7,8.3,-,-,-,-,-,-,1013.7,966.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181118:0000,237,2.0,88,14.4,301,12.6,11.9,9.9,76.5,17.9,8.3,-,-,-,-,-,-,1003.9,957.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181119:0000,279,2.7,149,13.4,285,-,6.7,3.7,55.9,8.0,0.3,-,-,-,-,-,-,1004.2,956.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181120:0000,253,2.4,267,16.5,292,18.8,4.9,3.8,82.0,7.0,3.3,-,-,-,-,-,-,1008.1,960.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181121:0000,288,3.1,259,12.4,357,4.8,7.0,5.3,75.1,13.7,1.1,-,-,-,-,-,-,1008.5,960.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181122:0000,146,2.3,254,11.3,226,0.6,10.2,8.6,79.6,14.4,7.0,-,-,-,-,-,-,1008.4,961.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181123:0000,161,0.7,124,8.2,265,0.4,10.1,8.3,77.3,14.6,6.4,-,-,-,-,-,-,1012.9,965.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181124:0000,130,4.0,133,6.7,272,2.6,10.0,9.6,94.2,12.8,9.9,-,-,-,-,-,-,1009.4,962.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181125:0000,137,2.3,117,12.4,499,4.8,12.0,11.5,93.8,12.9,9.7,-,-,-,-,-,-,1005.8,959.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181126:0000,122,4.3,119,10.3,414,0.2,9.6,9.0,91.8,12.4,9.1,-,-,-,-,-,-,1009.6,962.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181127:0000,143,3.3,116,7.2,216,0.0,9.4,7.9,79.8,12.1,8.5,-,-,-,-,-,-,1009.9,962.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181128:0000,126,0.6,101,6.2,192,2.0,8.9,8.1,89.2,13.2,8.6,-,-,-,-,-,-,1010.9,963.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181129:0000,144,3.0,155,6.7,198,1.8,10.1,9.7,94.2,12.5,8.9,-,-,-,-,-,-,1015.8,968.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181130:0000,143,1.9,130,5.7,167,0.0,9.6,9.1,92.9,14.7,9.2,-,-,-,-,-,-,1017.5,969.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181201:0000,173,1.5,118,5.1,129,0.0,12.7,11.5,85.9,16.6,9.6,-,-,-,-,-,-,1011.7,964.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181202:0000,110,1.8,109,7.7,191,0.2,13.4,13.0,94.8,16.5,12.7,-,-,-,-,-,-,1009.5,962.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181203:0000,10,1.1,125,5.7,158,3.4,15.2,13.9,85.6,17.5,13.1,-,-,-,-,-,-,1001.9,956.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181204:0000,7,1.1,300,16.5,316,1.0,14.4,12.6,80.1,21.6,12.2,-,-,-,-,-,-,990.2,944.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181205:0000,79,1.7,263,12.9,301,6.6,12.8,8.6,52.8,16.5,7.4,-,-,-,-,-,-,992.1,946.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181206:0000,239,6.0,252,12.9,347,0.0,11.1,7.2,53.5,16.5,8.6,-,-,-,-,-,-,1011.2,964.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181207:0000,335,2.8,200,8.2,202,0.2,14.8,9.6,46.3,22.8,6.5,-,-,-,-,-,-,1019.9,973.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181208:0000,244,1.4,308,11.8,196,0.0,13.5,11.8,80.3,25.2,9.1,-,-,-,-,-,-,1020.0,973.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20181209:0000,121,2.1,148,9.8,250,2.0,14.5,12.5,78.0,24.0,10.5,-,-,-,-,-,-,1014.7,968.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
