Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20170123:0000,69,2.3,259,20.1,295,0.0,14.6,8.9,41.3,22.3,8.4,-,-,-,-,-,-,998.2,952.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170124:0000,334,1.6,105,5.7,360,0.0,15.3,11.6,61.4,22.4,6.1,-,-,-,-,-,-,1011.3,965.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170125:0000,261,7.8,311,36.5,510,0.0,18.8,10.7,29.7,18.8,13.2,-,-,-,-,-,-,995.8,950.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170126:0000,12,1.8,281,19.6,402,0.4,17.7,11.4,41.6,23.2,10.5,-,-,-,-,-,-,1001.5,956.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170127:0000,277,4.3,265,14.9,313,0.0,18.2,12.1,43.8,22.0,9.7,-,-,-,-,-,-,1000.2,954.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170128:0000,299,0.7,115,6.7,187,0.0,11.9,9.6,72.9,21.2,6.8,-,-,-,-,-,-,1018.2,971.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170129:0000,131,1.6,287,17.0,321,0.2,19.6,12.6,39.0,27.1,10.5,-,-,-,-,-,-,1007.7,962.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170130:0000,340,0.8,125,5.1,158,0.0,10.7,9.2,81.2,24.8,9.2,-,-,-,-,-,-,1018.4,971.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170131:0000,128,2.9,303,17.0,352,1.0,21.9,15.0,43.7,30.3,10.6,-,-,-,-,-,-,1002.5,957.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170201:0000,104,3.3,323,9.8,189,0.0,10.1,9.5,92.2,15.1,10.0,-,-,-,-,-,-,1007.5,960.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170202:0000,6,0.9,126,6.2,165,0.0,10.4,8.7,78.3,17.4,7.8,-,-,-,-,-,-,1012.0,964.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170203:0000,340,1.9,276,11.3,260,0.0,13.1,9.6,60.8,22.1,8.4,-,-,-,-,-,-,1005.2,958.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170204:0000,41,1.7,259,12.9,238,0.0,16.9,11.7,49.6,25.0,11.5,-,-,-,-,-,-,1007.4,961.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170205:0000,303,2.0,134,6.7,199,0.0,18.2,13.4,55.3,28.8,9.6,-,-,-,-,-,-,1012.9,966.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170206:0000,341,1.8,259,14.9,312,4.8,15.7,11.6,57.7,29.3,13.2,-,-,-,-,-,-,1006.6,960.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170207:0000,157,3.3,161,10.8,253,6.4,9.7,9.2,93.6,11.2,9.6,-,-,-,-,-,-,1015.9,968.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170208:0000,260,0.6,117,8.8,195,0.0,8.0,6.4,78.0,12.7,6.3,-,-,-,-,-,-,1028.6,980.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170209:0000,29,1.1,132,8.8,179,0.0,9.7,7.3,68.5,16.0,7.4,-,-,-,-,-,-,1027.1,979.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170210:0000,285,1.9,127,7.2,160,0.0,13.2,9.8,62.2,20.8,7.5,-,-,-,-,-,-,1009.8,963.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170211:0000,-,-,116,6.2,174,0.0,-,-,-,21.6,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170212:0000,7,2.0,120,16.0,296,5.4,13.9,10.8,65.8,27.2,11.6,-,-,-,-,-,-,989.4,943.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
